Country,Region,State,Territory,City
India,North,Rajasthan,T27,Rajgarh (Alwar)
India,North,Rajasthan,T27,Sheoganj
India,North,Rajasthan,T27,Sadri
India,North,Rajasthan,T27,Todaraisingh
India,North,Rajasthan,T27,Todabhim
India,North,Rajasthan,T27,Reengus
India,North,Rajasthan,T27,Rajaldesar
India,North,Rajasthan,T27,Sadulshahar
India,North,Rajasthan,T27,Sambhar
India,North,Rajasthan,T27,Prantij
India,North,Rajasthan,T27,Mount Abu
India,North,Rajasthan,T27,Mangrol
India,North,Rajasthan,T27,Phulera
India,North,Rajasthan,T27,Mandawa
India,North,Rajasthan,T27,Pindwara
India,North,Rajasthan,T27,Mandalgarh
India,North,Rajasthan,T27,Takhatgarh
India,North,Tamil Nadu,T28,Chennai
India,North,Tamil Nadu,T28,Coimbatore
India,North,Tamil Nadu,T28,Madurai
India,North,Tamil Nadu,T28,Tiruchirappalli
India,North,Tamil Nadu,T28,Salem
India,North,Tamil Nadu,T28,Tirunelveli
India,North,Tamil Nadu,T28,Tiruppur
India,North,Tamil Nadu,T28,Ranipet
India,North,Tamil Nadu,T28,Nagercoil
India,North,Tamil Nadu,T28,Thanjavur
India,North,Tamil Nadu,T28,Vellore
India,North,Tamil Nadu,T28,Kancheepuram
India,North,Tamil Nadu,T28,Erode
India,North,Tamil Nadu,T28,Tiruvannamalai
India,North,Tamil Nadu,T28,Pollachi
India,North,Tamil Nadu,T28,Rajapalayam
India,North,Tamil Nadu,T28,Sivakasi
India,North,Tamil Nadu,T28,Pudukkottai
India,North,Tamil Nadu,T28,Neyveli (TS)
India,North,Tamil Nadu,T28,Nagapattinam
India,North,Tamil Nadu,T28,Viluppuram
India,North,Tamil Nadu,T28,Tiruchengode
India,North,Tamil Nadu,T28,Vaniyambadi
India,North,Tamil Nadu,T28,Theni Allinagaram
India,North,Tamil Nadu,T28,Udhagamandalam
India,North,Tamil Nadu,T28,Aruppukkottai
India,North,Tamil Nadu,T28,Paramakudi
India,North,Tamil Nadu,T28,Arakkonam
India,North,Tamil Nadu,T28,Virudhachalam
India,North,Tamil Nadu,T28,Srivilliputhur
India,North,Tamil Nadu,T28,Tindivanam
India,North,Tamil Nadu,T28,Virudhunagar
India,North,Tamil Nadu,T28,Karur
India,North,Tamil Nadu,T28,Valparai
India,North,Tamil Nadu,T28,Sankarankovil
India,North,Tamil Nadu,T28,Tenkasi
India,North,Tamil Nadu,T28,Palani
India,North,Tamil Nadu,T28,Pattukkottai
India,North,Tamil Nadu,T28,Tirupathur
India,North,Tamil Nadu,T28,Ramanathapuram
India,North,Tamil Nadu,T28,Udumalaipettai
India,North,Tamil Nadu,T28,Gobichettipalayam
India,North,Tamil Nadu,T28,Thiruvarur
India,North,Tamil Nadu,T28,Thiruvallur
India,North,Tamil Nadu,T28,Panruti
India,North,Tamil Nadu,T28,Namakkal
India,North,Tamil Nadu,T28,Thirumangalam
India,North,Tamil Nadu,T28,Vikramasingapuram
India,North,Tamil Nadu,T28,Nellikuppam
India,North,Tamil Nadu,T28,Rasipuram
India,North,Tamil Nadu,T28,Tiruttani
India,North,Tamil Nadu,T28,Nandivaram-Guduvancheri
India,North,Tamil Nadu,T28,Periyakulam
India,North,Tamil Nadu,T28,Pernampattu
India,North,Tamil Nadu,T28,Vellakoil
India,North,Tamil Nadu,T28,Sivaganga
India,North,Tamil Nadu,T28,Vadalur
India,North,Tamil Nadu,T28,Rameshwaram
India,North,Tamil Nadu,T28,Tiruvethipuram
India,North,Tamil Nadu,T28,Perambalur
India,North,Tamil Nadu,T28,Usilampatti
India,North,Tamil Nadu,T28,Vedaranyam
India,North,Tamil Nadu,T28,Sathyamangalam
India,North,Tamil Nadu,T28,Puliyankudi
India,North,Tamil Nadu,T28,Nanjikottai
India,North,Tamil Nadu,T28,Thuraiyur
India,North,Tamil Nadu,T28,Sirkali
India,North,Tamil Nadu,T28,Tiruchendur
India,North,Tamil Nadu,T28,Periyasemur
India,North,Tamil Nadu,T28,Sattur
India,North,Tamil Nadu,T28,Vandavasi
India,North,Tamil Nadu,T28,Tharamangalam
India,North,Tamil Nadu,T28,Tirukkoyilur
India,North,Tamil Nadu,T28,Oddanchatram
India,North,Tamil Nadu,T28,Palladam
India,North,Tamil Nadu,T28,Vadakkuvalliyur
India,North,Tamil Nadu,T28,Tirukalukundram
India,North,Tamil Nadu,T28,Uthamapalayam
India,North,Tamil Nadu,T28,Surandai
India,North,Tamil Nadu,T28,Sankari
India,North,Tamil Nadu,T28,Shenkottai
India,North,Tamil Nadu,T28,Vadipatti
India,North,Tamil Nadu,T28,Sholingur
India,North,Tamil Nadu,T28,Tirupathur
India,North,Tamil Nadu,T28,Manachanallur
India,North,Tamil Nadu,T28,Viswanatham
India,North,Tamil Nadu,T28,Polur
India,North,Tamil Nadu,T28,Panagudi
India,North,Tamil Nadu,T28,Uthiramerur
India,North,Tamil Nadu,T28,Thiruthuraipoondi
India,North,Tamil Nadu,T28,Pallapatti
India,North,Tamil Nadu,T28,Ponneri
India,North,Tamil Nadu,T28,Lalgudi
India,North,Tamil Nadu,T28,Natham
India,North,Tamil Nadu,T28,Unnamalaikadai
India,North,Tamil Nadu,T28,P.N.Patti
India,North,Tamil Nadu,T28,Tharangambadi
India,North,Tamil Nadu,T28,Tittakudi
India,North,Tamil Nadu,T28,Pacode
India,North,Tamil Nadu,T28,O' Valley
India,North,Tamil Nadu,T28,Suriyampalayam
India,North,Tamil Nadu,T28,Sholavandan
India,North,Tamil Nadu,T28,Thammampatti
India,North,Tamil Nadu,T28,Namagiripettai
India,North,Tamil Nadu,T28,Peravurani
India,North,Tamil Nadu,T28,Parangipettai
India,North,Tamil Nadu,T28,Pudupattinam
India,North,Tamil Nadu,T28,Pallikonda
India,North,Tamil Nadu,T28,Sivagiri
India,North,Tamil Nadu,T28,Punjaipugalur
India,North,Tamil Nadu,T28,Padmanabhapuram
India,North,Tamil Nadu,T28,Thirupuvanam
India,North,Telangana,T29,Hyderabad
India,North,Telangana,T29,Warangal
India,North,Telangana,T29,Nizamabad
India,North,Telangana,T29,Karimnagar
India,North,Telangana,T29,Ramagundam
India,North,Telangana,T29,Khammam
India,North,Telangana,T29,Mahbubnagar
India,North,Telangana,T29,Mancherial
India,North,Telangana,T29,Adilabad
India,North,Telangana,T29,Suryapet
India,North,Telangana,T29,Jagtial
India,North,Telangana,T29,Miryalaguda
India,North,Telangana,T29,Nirmal
India,North,Telangana,T29,Kamareddy
India,North,Telangana,T29,Kothagudem
India,North,Telangana,T29,Bodhan
India,North,Telangana,T29,Palwancha
India,North,Telangana,T29,Mandamarri
India,North,Telangana,T29,Koratla
India,North,Telangana,T29,Sircilla
India,North,Telangana,T29,Tandur
India,North,Telangana,T29,Siddipet
India,North,Telangana,T29,Wanaparthy
India,North,Telangana,T29,Kagaznagar
India,North,Telangana,T29,Gadwal
India,North,Telangana,T29,Sangareddy
India,North,Telangana,T29,Bellampalle
India,North,Telangana,T29,Bhongir
India,North,Telangana,T29,Vikarabad
India,North,Telangana,T29,Jangaon
India,North,Telangana,T29,Bhadrachalam
India,North,Telangana,T29,Bhainsa
India,North,Telangana,T29,Farooqnagar
India,North,Telangana,T29,Medak
India,North,Telangana,T29,Narayanpet
India,North,Telangana,T29,Sadasivpet
India,North,Telangana,T29,Yellandu
India,North,Telangana,T29,Manuguru
India,North,Telangana,T29,Kyathampalle
India,North,Telangana,T29,Nagarkurnool
India,North,Tripura,T30,Agartala
India,North,Tripura,T30,Udaipur
India,North,Tripura,T30,Dharmanagar
India,North,Tripura,T30,Pratapgarh
India,North,Tripura,T30,Kailasahar
India,North,Tripura,T30,Belonia
India,North,Tripura,T30,Khowai
India,North,Uttar Pradesh,T31,Lucknow
India,North,Uttar Pradesh,T31,Kanpur
India,North,Uttar Pradesh,T31,Firozabad
India,North,Uttar Pradesh,T31,Agra
India,North,Uttar Pradesh,T31,Meerut
India,North,Uttar Pradesh,T31,Varanasi
India,North,Uttar Pradesh,T31,Allahabad
India,North,Uttar Pradesh,T31,Amroha
India,North,Uttar Pradesh,T31,Moradabad
India,North,Uttar Pradesh,T31,Aligarh
India,North,Uttar Pradesh,T31,Saharanpur
India,North,Uttar Pradesh,T31,Noida
India,North,Uttar Pradesh,T31,Loni
India,North,Uttar Pradesh,T31,Jhansi
India,North,Uttar Pradesh,T31,Shahjahanpur
India,North,Uttar Pradesh,T31,Rampur
India,North,Uttar Pradesh,T31,Modinagar
India,North,Uttar Pradesh,T31,Hapur
India,North,Uttar Pradesh,T31,Etawah
India,North,Uttar Pradesh,T31,Sambhal
India,North,Uttar Pradesh,T31,Orai
India,North,Uttar Pradesh,T31,Bahraich
India,North,Uttar Pradesh,T31,Unnao
India,North,Uttar Pradesh,T31,Rae Bareli
India,North,Uttar Pradesh,T31,Lakhimpur
India,North,Uttar Pradesh,T31,Sitapur
India,North,Uttar Pradesh,T31,Lalitpur
India,North,Uttar Pradesh,T31,Pilibhit
India,North,Uttar Pradesh,T31,Chandausi
India,North,Uttar Pradesh,T31,Hardoi 
India,North,Uttar Pradesh,T31,Azamgarh
India,North,Uttar Pradesh,T31,Khair
India,North,Uttar Pradesh,T31,Sultanpur
India,North,Uttar Pradesh,T31,Tanda
India,North,Uttar Pradesh,T31,Nagina
India,North,Uttar Pradesh,T31,Shamli
India,North,Uttar Pradesh,T31,Najibabad
India,North,Uttar Pradesh,T31,Shikohabad
